term,coef,odds_ratio,ci_low,ci_high,or_ci_low,or_ci_high
Percepción sobre el uso de IA en campañas políticas [El uso de inteligencia artificial en campañas políticas digitales mejora la comunicación entre partidos y ciudadanos.]_num,-0.0866325486778966,0.9170139917365533,-0.4409443252454373,0.2676792278896441,0.6434285283011558,1.306927846766251
Percepción sobre el uso de IA en campañas políticas [Los partidos pueden manipular mi opinión mediante mensajes personalizados creados con IA.]_num,-0.10629991946413578,0.89915493356578,-0.4649889010905339,0.2523890621622624,0.6281420768429946,1.287096700509308
Percepción sobre el uso de IA en campañas políticas [La presencia de bots o cuentas falsas en redes sociales reduce mi confianza en la información política digital.]_num,1.01207641767418,2.7513079524331427,0.4621094873318309,1.5620433480165294,1.5874190959926866,4.768555114544703
Percepción sobre el uso de IA en campañas políticas [La inteligencia artificial puede mejorar la transparencia del proceso electoral.]_num,0.11532536267988398,1.1222385127077692,-0.22553119952473888,0.4561819248845068,0.7980921599633627,1.5780374029264497
Percepción sobre el uso de IA en campañas políticas [La existencia de deepfakes o contenido manipulado me hace desconfiar más de las campañas políticas digitales.]_num,-0.9830354055256235,0.3741736047194809,-1.6215499187947087,-0.3445208922565385,0.19759220974860223,0.708559748620154
Percepción sobre el uso de IA en campañas políticas [Considero que el uso de inteligencia artificial en campañas políticas debería estar regulado por la ley.]_num,-0.1452516620048132,0.8648046272565103,-0.5821624989734236,0.29165917496379723,0.5586888951341782,1.3386466955722374
edad_25–34,-0.08775330106709484,0.9159868218234712,-0.894197367990224,0.7186907658560342,0.40893569183038975,2.051745236515722
edad_35–44,4.305762018578051,74.12567908152006,1.297689070790562,7.3138349663655395,3.660826972973617,1500.922152251663
edad_45–54,0.40675940362432933,1.5019427002171364,-2.6944024873549854,3.5079212946036438,0.06758275126084731,33.378810904409164
genero_Masculino,-0.25926477144254134,0.7716186934000265,-1.1130056499884668,0.594476107103384,0.3285699093039421,1.8120813596889551
genero_Otros,-0.5057101633400224,0.6030771400394322,-3.3182358283407867,2.3068155016607417,0.03621666784758431,10.04239369476947
rol_uce_Estudiante de posgrado,3.21026799360709,24.785727751189,0.20613822598902587,6.214397761225154,1.2289230613612838,499.8948424611398
rol_uce_Estudiante de pregrado,3.2630541027915605,26.129216719498856,0.35933814692167054,6.1667700586614504,1.43238107494042,476.6440846776316
rol_uce_Personal administrativo,5.1517882348172845,172.7401141751569,1.8827801711450611,8.420796298489508,6.571750077967276,4540.517623347579
conoce_ia_No estoy seguro/a,-0.13199331300628794,0.8763468551856902,-1.3712507464000105,1.1072641203874345,0.2537893348632973,3.026068100960668
conoce_ia_Sí,-0.3906714621563985,0.6766024090244683,-1.3546919191674558,0.573348994854659,0.258026775311689,1.7741988960049426
"percibe_automatizacion_Sí, lo he notado claramente",0.5394627445404206,1.7150851757421806,-1.3600322449185764,2.4389577339994175,0.25665250108112936,11.461089012028582
"percibe_automatizacion_Tal vez, pero no estoy seguro/a",0.10599468457819962,1.111815966719997,-1.8327357949383647,2.044725164094764,0.15997530891494255,7.727034579509787
"identifica_ia_No, me resulta difícil distinguirlo",0.48607134416225234,1.6259159916878119,-1.1142530605750105,2.0863957488995153,0.3281603032472358,8.05582755094687
