feature,importance
longitud_recomendacion,0.05000104038889768
palabras_recomendacion,0.03965732088286676
Percepción sobre el uso de IA en campañas políticas [Considero que el uso de inteligencia artificial en campañas políticas debería estar regulado por la ley.]_num,0.03079891037358585
Percepción sobre el uso de IA en campañas políticas [Los partidos pueden manipular mi opinión mediante mensajes personalizados creados con IA.]_num,0.025309144538635895
Percepción sobre el uso de IA en campañas políticas [La existencia de deepfakes o contenido manipulado me hace desconfiar más de las campañas políticas digitales.]_num,0.02465257774193829
Percepción sobre el uso de IA en campañas políticas [La presencia de bots o cuentas falsas en redes sociales reduce mi confianza en la información política digital.]_num,0.024135532846869125
Percepción sobre el uso de IA en campañas políticas [La inteligencia artificial puede mejorar la transparencia del proceso electoral.]_num,0.023368966466750254
Percepción sobre el uso de IA en campañas políticas [El uso de inteligencia artificial en campañas políticas digitales mejora la comunicación entre partidos y ciudadanos.]_num,0.018124979405753226
¿A qué facultad o unidad académica pertenece?_Facultad de Ingeniería y Ciencias Aplicadas,0.01692064026270096
edad_25–34,0.01608733114220547
"¿Vio alguna vez un video, imagen, audio o noticia política de la campaña entre Luisa González y Daniel Noboa que le pareció “falso”, “manipulado” o generado con IA?_No estoy seguro/a",0.015594136569486371
"¿Ha cambiado su confianza en el proceso electoral al saber que existen bots, deepfakes o manipulación mediante IA?_Sí, ahora confío menos",0.015532933143210033
"¿Vio alguna vez un video, imagen, audio o noticia política de la campaña entre Luisa González y Daniel Noboa que le pareció “falso”, “manipulado” o generado con IA?_Sí, algunas veces",0.014995211818741196
"¿Ha cambiado su confianza en el proceso electoral al saber que existen bots, deepfakes o manipulación mediante IA?_No ha cambiado",0.014836202768281773
¿Qué tipo de interacción tuvo con el contenido político digital relacionado a la campaña Noboa vs. González?_Solo leí/vi,0.013493221591874622
¿A través de qué dispositivos accede principalmente a Internet?_Smartphone,0.013412706821390475
"percibe_automatizacion_Sí, lo he notado claramente",0.012755976723630543
"¿Conoce alguna medida, ley o regulación sobre el uso de IA en campañas políticas en Ecuador?_Sí",0.012670090217095123
¿Por quién votó en la segunda vuelta presidencial de 2025?_Daniel Noboa,0.012282650912817885
"¿Realiza alguna verificación (chequea fuentes, busca noticias, consulta otras personas) de la información política digital antes de compartirla?_Siempre",0.011822601959368663
Percepción sobre el uso de IA en campañas políticas [Considero que el uso de inteligencia artificial en campañas políticas debería estar regulado por la ley.]_Ni de acuerdo ni en desacuerdo,0.011759092201422676
Percepción sobre el uso de IA en campañas políticas [Los partidos pueden manipular mi opinión mediante mensajes personalizados creados con IA.]_Ni de acuerdo ni en desacuerdo,0.011395045345461794
"¿Vio alguna vez un video, imagen, audio o noticia política de la campaña entre Luisa González y Daniel Noboa que le pareció “falso”, “manipulado” o generado con IA?_Sí, muchas veces",0.011342519492065415
¿A través de qué dispositivos accede principalmente a Internet?_Smartphone;Computadora,0.01087877582820954
"Durante la campaña presidencial entre Luisa González y Daniel Noboa, ¿con qué frecuencia vio o recibió contenido político en redes sociales o plataformas digitales?_Varias veces al día",0.010857119354888298
identifica_ia_A veces,0.010508088733600417
Percepción sobre el uso de IA en campañas políticas [La existencia de deepfakes o contenido manipulado me hace desconfiar más de las campañas políticas digitales.]_Totalmente de acuerdo,0.010097484055626155
¿Considera que el uso de IA en campañas digitales influyó en su decisión de voto en las elecciones presidenciales de 2025?_Nada,0.009947408596198044
Percepción sobre el uso de IA en campañas políticas [La inteligencia artificial puede mejorar la transparencia del proceso electoral.]_En desacuerdo,0.009914065929851938
"¿Conoce alguna medida, ley o regulación sobre el uso de IA en campañas políticas en Ecuador?_No",0.009837485748343793
edad_18–24,0.009835743583333532
Percepción sobre el uso de IA en campañas políticas [La inteligencia artificial puede mejorar la transparencia del proceso electoral.]_Totalmente en desacuerdo,0.00974161575195538
Nombre de usuario_byron_maldonado72@gmail.com,0.009715151677247937
"percibe_automatizacion_Tal vez, pero no estoy seguro/a",0.009709729685954111
"¿Considera que el uso de IA en campañas digitales influyó en su decisión de voto en las elecciones presidenciales de 2025?_Sí, algo",0.009640905234680147
conoce_ia_Sí,0.009589530038740135
"¿Realiza alguna verificación (chequea fuentes, busca noticias, consulta otras personas) de la información política digital antes de compartirla?_A veces",0.009484014992769407
"identifica_ia_Sí, fácilmente",0.009427972496538579
Percepción sobre el uso de IA en campañas políticas [La inteligencia artificial puede mejorar la transparencia del proceso electoral.]_Ni de acuerdo ni en desacuerdo,0.00932022289888013
¿A qué facultad o unidad académica pertenece?_Facultad de Ciencias Psicológicas,0.009317138732778703
Percepción sobre el uso de IA en campañas políticas [El uso de inteligencia artificial en campañas políticas digitales mejora la comunicación entre partidos y ciudadanos.]_En desacuerdo,0.009303219702780086
Percepción sobre el uso de IA en campañas políticas [La existencia de deepfakes o contenido manipulado me hace desconfiar más de las campañas políticas digitales.]_Ni de acuerdo ni en desacuerdo,0.009199719339846067
"¿Realiza alguna verificación (chequea fuentes, busca noticias, consulta otras personas) de la información política digital antes de compartirla?_Rara vez",0.009149395303535198
Percepción sobre el uso de IA en campañas políticas [La presencia de bots o cuentas falsas en redes sociales reduce mi confianza en la información política digital.]_Totalmente de acuerdo,0.009131197810021417
¿Participó activamente en redes sociales o medios digitales durantes las ultimas elecciones presidenciales de 2025?_Sí,0.008894478599809554
